Step	Volume(Å³)	Pressure(GPa)	MeanForce(eV/Å)	MaxForce(eV/Å)	Stress_xx(GPa)	Stress_yy(GPa)	Stress_zz(GPa)	TotalEnergy(eV)	Temperature(K)
272	52.120312	1.613901	0.870406	1.616243	1.093565	2.515399	1.232741	-14.410261	486.24
273	52.120312	1.720474	0.918095	1.769045	1.414158	2.444623	1.302641	-14.410159	465.13
274	52.120312	1.840448	0.962445	1.872313	1.771934	2.348631	1.400779	-14.410056	442.62
275	52.120312	1.954803	0.992874	1.914823	2.125782	2.220667	1.517960	-14.409984	421.71
276	52.120312	2.053349	1.004585	1.892442	2.442010	2.069931	1.648105	-14.409958	404.51
277	52.120312	2.134218	0.999399	1.808860	2.701207	1.916424	1.785024	-14.409967	391.86
278	52.120312	2.201274	0.983526	1.674199	2.896934	1.784092	1.922797	-14.409987	383.59
279	52.120312	2.260341	0.963248	1.502016	3.030862	1.693994	2.056167	-14.409993	379.23
280	52.120312	2.302759	0.939723	1.301394	3.088588	1.642747	2.176944	-14.409986	378.49
281	52.120312	2.321192	0.912706	1.083008	3.065243	1.623109	2.275225	-14.409961	381.57
